#SampleID	Dataset	lat	long	pH	specific_location	Moisture	N	C	CN	CO2_C
CP495	Central_Park	40.79134	-73.96348	4.81	"New York, NY USA"	8.31026188	0.2295	4.284	18.66666667	2.76281972
CP273	Central_Park	40.7777	-73.96806	5.67	"New York, NY USA"	16.44017445	0.2301	3.134	13.62016515	1.787423518
CP696	Central_Park	40.7968	-73.95935	6.37	"New York, NY USA"	18.04561792	0.2306	4.226	18.32610581	4.53589074
CP606	Central_Park	40.79876667	-73.95456667	6.19	"New York, NY USA"	14.62433653	0.2327	4.165	17.89858187	2.734666494
CP233	Central_Park	40.77853	-73.96482	6.67	"New York, NY USA"	14.75386377	0.233	3.661	15.71244635	4.523121723
CP99	Central_Park	40.77091	-73.97199	6.33	"New York, NY USA"	22.44802288	0.2331	4.75	20.37752038	3.44182958
CP230	Central_Park	40.77911	-73.965	6.51	"New York, NY USA"	14.34331385	0.2337	2.825	12.0881472	1.594203159
CP316	Central_Park	40.77545	-73.97187	7.1	"New York, NY USA"	12.66781211	0.2341	4.37	18.66723622	2.379226339
CP36	Central_Park	40.76946	-73.9792	6.63	"New York, NY USA"	12.03010252	0.2348	5.223	22.24446337	6.559151508
CP33	Central_Park	40.76925	-73.98047	6	"New York, NY USA"	20.75098313	0.2356	5.133	21.78692699	0.805761494
CP80	Central_Park	40.77008	-73.97269	5.88	"New York, NY USA"	18.93673844	0.2382	4.328	18.16960537	1.884264581
CP245	Central_Park	40.77711	-73.96672	4.7	"New York, NY USA"	18.18571604	0.2384	4.684	19.64765101	1.553718674
CP415	Central_Park	40.78275	-73.96823	5.03	"New York, NY USA"	16.31189969	0.2395	4.046	16.89352818	1.428967982
CP446	Central_Park	40.78547	-73.96741	6.28	"New York, NY USA"	18.51366836	0.2396	3.653	15.24624374	2.79159013
CP241	Central_Park	40.77713	-73.96446	6.08	"New York, NY USA"	17.56037791	0.2397	3.77	15.72799332	2.130367877
CP307	Central_Park	40.77525	-73.97432	5.67	"New York, NY USA"	14.21549853	0.2397	4.822	20.11681268	1.374342096
